date,open,high,low,close,adjClose,volume
2018-06-26,0.4525,0.4803,0.44787,0.47094,0.456001,179426000
2018-06-27,0.47094,0.4777,0.44308,0.4542,0.47037,215618000
2018-06-28,0.44609,0.4683,0.424,0.4611,0.448458,220566000
2018-06-29,0.45411,0.4914,0.45338,0.469,0.45308,309777984
2018-06-30,0.469,0.4788,0.44971,0.46119,0.466245,345528992
2018-07-01,0.46129,0.5009,0.45258,0.49027,0.461358,267224992
2018-07-02,0.4941,0.5243,0.47692,0.4906,0.486122,335919008
2018-07-03,0.48448,0.5136,0.47425,0.4979,0.485223,410225984
2018-07-04,0.4991,0.51,0.46801,0.4771,0.490043,313828992
2018-07-05,0.47706,0.4912,0.45898,0.47569,0.481625,279999008
2018-07-06,0.4757,0.4933,0.46401,0.4852,0.479151,245003008
2018-07-07,0.485,0.495,0.47433,0.47867,0.492477,214979008
2018-07-08,0.47841,0.4927,0.47056,0.4834,0.477749,226644000
2018-07-09,0.4731,0.4845,0.43856,0.442,0.47427,206344992
2018-07-10,0.44199,0.4654,0.43908,0.4487,0.445042,230418000
2018-07-11,0.4615,0.4625,0.42416,0.43827,0.450233,183887008
2018-07-12,0.43782,0.4477,0.429,0.4382,0.435364,182139008
2018-07-13,0.4375,0.44378,0.43186,0.4388,0.438741,179403008
2018-07-14,0.4383,0.45021,0.43544,0.44777,0.439271,134840992
2018-07-15,0.44642,0.48481,0.44286,0.48243,0.445894,152903008
2018-07-16,0.48148,0.52,0.46882,0.50696,0.483401,269283008
2018-07-17,0.50589,0.52467,0.476,0.48951,0.505587,347700000
2018-07-18,0.48926,0.4961,0.47075,0.4781,0.486389,367988992
2018-07-19,0.4765,0.478,0.43,0.4445,0.476433,293942016
2018-07-20,0.44517,0.4594,0.43415,0.456,0.446994,295403008
2018-07-21,0.45491,0.4641,0.44594,0.4488,0.45541,180339008
2018-07-22,0.44868,0.4656,0.44173,0.44502,0.449311,158906000
2018-07-23,0.44388,0.4707,0.4367,0.45756,0.445276,194542000
2018-07-24,0.45742,0.46893,0.44,0.45932,0.457623,319956000
2018-07-25,0.4595,0.47025,0.4457,0.44933,0.459829,255872000
2018-07-26,0.4486,0.4606,0.44386,0.4554,0.44992,199587008
2018-07-27,0.45477,0.45927,0.44803,0.45858,0.453635,203720992
2018-07-28,0.4583,0.4589,0.44925,0.4544,0.453667,157346000
2018-07-29,0.4527,0.4565,0.43444,0.4469,0.453306,191966000
2018-07-30,0.44599,0.4472,0.406,0.43549,0.446107,247714000
2018-07-31,0.43566,0.4647,0.42577,0.44638,0.435225,228767000
2018-08-01,0.4463,0.44872,0.42951,0.43085,0.445852,323200000
2018-08-02,0.43054,0.44643,0.42493,0.4415,0.430254,204898000
2018-08-03,0.44047,0.4452,0.42673,0.4292,0.440571,278870000
2018-08-04,0.42959,0.43745,0.4267,0.4346,0.428507,185678000
2018-08-05,0.4345,0.43745,0.40261,0.4134,0.433638,186848000
2018-08-06,0.41203,0.4162,0.37434,0.37801,0.414081,242075000
2018-08-07,0.37801,0.37867,0.31921,0.332,0.381006,244448000
2018-08-08,0.3317,0.3582,0.3278,0.3435,0.331944,360857000
2018-08-09,0.34417,0.34702,0.31201,0.3187,0.346771,325775000
2018-08-10,0.3183,0.32102,0.28799,0.2978,0.320426,249264000
2018-08-11,0.29783,0.30989,0.29389,0.2959,0.301262,284423000
2018-08-12,0.2962,0.31,0.27021,0.27421,0.29787,178827000
2018-08-13,0.27443,0.27756,0.24508,0.273,0.277466,235117000
2018-08-14,0.27374,0.3024,0.2722,0.2803,0.274272,276768000
2018-08-15,0.27951,0.30317,0.27502,0.2918,0.282005,332432000
2018-08-16,0.29177,0.3743,0.29072,0.36723,0.292436,238219000
2018-08-17,0.36684,0.371,0.31214,0.3286,0.366676,497206000
2018-08-18,0.3285,0.35391,0.318,0.34121,0.3271,434332000
2018-08-19,0.34144,0.35086,0.31314,0.31502,0.343978,327300000
2018-08-20,0.31451,0.33831,0.31304,0.3329,0.319283,311144000
2018-08-21,0.3327,0.35713,0.31,0.31776,0.335177,248735000
2018-08-22,0.31776,0.33096,0.31513,0.3262,0.319803,286845000
2018-08-23,0.32595,0.33094,0.31523,0.3275,0.327709,217578000
2018-08-24,0.3262,0.3331,0.3215,0.327,0.327606,244571000
2018-08-25,0.32727,0.32911,0.3181,0.32271,0.32823,167363000
2018-08-26,0.32284,0.3403,0.32141,0.33889,0.323776,168718000
2018-08-27,0.33894,0.3575,0.33453,0.35052,0.336903,227284000
2018-08-28,0.3503,0.355,0.3381,0.3447,0.351837,329550000
2018-08-29,0.3448,0.34694,0.32201,0.3348,0.344803,275908000
2018-08-30,0.33491,0.34108,0.327,0.3349,0.335444,263925000
2018-08-31,0.33499,0.35419,0.334,0.3474,0.335332,219139000
2018-09-01,0.34658,0.34982,0.336,0.34208,0.347721,257267000
2018-09-02,0.34196,0.34427,0.33251,0.33431,0.342523,240907000
2018-09-03,0.3349,0.34124,0.32771,0.33038,0.335961,201147000
2018-09-04,0.33038,0.3337,0.2766,0.27888,0.331652,241419000
2018-09-05,0.27829,0.30507,0.26698,0.3023,0.283601,344488000
2018-09-06,0.30175,0.30427,0.28071,0.2872,0.30271,329763000
2018-09-07,0.287,0.29396,0.2685,0.2766,0.291435,213961000
2018-09-08,0.27597,0.291,0.2702,0.276,0.279333,169208000
2018-09-09,0.2764,0.28245,0.25887,0.26976,0.27868,168991000
2018-09-10,0.26989,0.275,0.25211,0.2633,0.270321,204958000
2018-09-11,0.2625,0.27386,0.25313,0.2697,0.26371,200330000
2018-09-12,0.2697,0.2858,0.2665,0.27947,0.270087,298449000
2018-09-13,0.27947,0.28523,0.271,0.2763,0.280583,311799000
2018-09-14,0.276,0.28505,0.27528,0.28076,0.277159,269029000
2018-09-15,0.27964,0.28235,0.27348,0.281,0.282008,205361000
2018-09-16,0.2813,0.28357,0.26633,0.2706,0.281166,197009000
2018-09-17,0.2706,0.33733,0.26886,0.3193,0.272251,246489000
2018-09-18,0.3188,0.3357,0.31,0.32599,0.32186,600216000
2018-09-19,0.3266,0.50297,0.32141,0.44828,0.326053,489609000
2018-09-20,0.449,0.79132,0.4255,0.56497,0.449918,1291360000
2018-09-21,0.56551,0.6275,0.4891,0.5741,0.561462,4101490000
2018-09-22,0.5731,0.6,0.55421,0.5713,0.570798,2411430000
2018-09-23,0.5712,0.58418,0.48111,0.49225,0.570689,1043970000
2018-09-24,0.4924,0.55,0.435,0.52532,0.494712,1034380000
2018-09-25,0.52536,0.57454,0.48367,0.51316,0.526941,1639680000
2018-09-26,0.51322,0.55571,0.50217,0.54341,0.516308,1821610000
2018-09-27,0.5432,0.55243,0.51227,0.54002,0.541381,824083000
2018-09-28,0.54,0.5973,0.52179,0.57,0.539112,718255000
2018-09-29,0.56951,0.62435,0.5561,0.58199,0.571228,1034370000
2018-09-30,0.58147,0.60588,0.53,0.57785,0.581572,1329720000
2018-10-01,0.57779,0.581,0.51,0.51394,0.576461,1412800000
2018-10-02,0.51344,0.53954,0.502,0.5284,0.520837,743705000
2018-10-03,0.52858,0.5496,0.52078,0.52882,0.528162,789229000
2018-10-04,0.5283,0.533,0.50101,0.5154,0.526606,621615000
2018-10-05,0.51485,0.52547,0.461,0.48881,0.519026,589636000
2018-10-06,0.48967,0.49091,0.46306,0.48275,0.488082,672167000
2018-10-07,0.48274,0.50203,0.47403,0.49325,0.482039,548645000
2018-10-08,0.49334,0.49365,0.4665,0.48185,0.489751,540832000
2018-10-09,0.4817,0.48181,0.4531,0.46648,0.479857,416867000
2018-10-10,0.45817,0.46658,0.37198,0.38324,0.462387,412207000
2018-10-11,0.38288,0.44889,0.37185,0.42041,0.38313,791202000
2018-10-12,0.41099,0.43163,0.40737,0.4225,0.419115,820154000
2018-10-13,0.4225,0.43,0.393,0.39866,0.418878,373875000
2018-10-14,0.39884,0.525,0.38838,0.4605,0.403286,289195000
2018-10-15,0.4608,0.48815,0.43588,0.4849,0.447316,1041470000
2018-10-16,0.46366,0.4978,0.45217,0.4838,0.470253,605102000
2018-10-17,0.4834,0.49438,0.436,0.46837,0.468197,526538000
2018-10-18,0.4685,0.4723,0.44203,0.46059,0.457725,476876000
2018-10-19,0.44917,0.47261,0.44635,0.4677,0.454178,303401000
2018-10-20,0.45421,0.47809,0.45034,0.45293,0.459151,277061000
2018-10-21,0.4528,0.46815,0.44404,0.4614,0.456694,262867000
2018-10-22,0.45009,0.48534,0.43242,0.4696,0.453109,249302000
2018-10-23,0.4587,0.4781,0.45,0.46392,0.462058,445238000
2018-10-24,0.46382,0.47288,0.44822,0.4635,0.457237,295115000
2018-10-25,0.46407,0.47075,0.44805,0.46658,0.458052,273380000
2018-10-26,0.46658,0.4674,0.45028,0.46052,0.459288,235514000
2018-10-27,0.4603,0.468,0.45138,0.45955,0.456348,211006000
2018-10-28,0.45946,0.4652,0.42646,0.445,0.462406,280005000
2018-10-29,0.44564,0.45346,0.43687,0.44726,0.441514,341648000
2018-10-30,0.443,0.46127,0.43337,0.45037,0.444759,245858000
2018-10-31,0.45028,0.4613,0.445,0.46105,0.448382,367008000
2018-11-01,0.46105,0.46792,0.45202,0.46266,0.455722,346501000
2018-11-02,0.4627,0.46455,0.44992,0.45259,0.458685,401300000
2018-11-03,0.4571,0.47854,0.44714,0.47008,0.455667,275311000
2018-11-04,0.46557,0.50576,0.459,0.5014,0.462691,429629000
2018-11-05,0.50139,0.57,0.45701,0.5548,0.497412,556519000
2018-11-06,0.55544,0.55544,0.52153,0.54083,0.54908,1333160000
2018-11-07,0.53384,0.5463,0.488,0.49693,0.535707,631230000
