date,open,high,low,close,adjClose,volume
2003-06-26,97.78,98.98,96.96,98.8,67.321854,33477300
2003-06-27,98.75,99.19,97.58,97.66,66.545082,54208800
2003-06-30,98.22,98.67,97.47,97.63,66.524643,33349000
2003-07-01,97.25,98.85,96.43,98.53,67.137878,51322800
2003-07-02,98.77,99.79,98.57,99.77,67.982819,34662100
2003-07-03,99.07,99.85,97.9,98.74,67.280991,30792800
2003-07-07,99.65,100.9,99.65,100.7,68.616524,31391100
2003-07-08,100.5,101.29,100.17,101.15,68.923149,30952500
2003-07-09,100.92,101.4,100.03,100.58,68.534744,36528500
2003-07-10,99.84,100.04,98.63,99.3,67.662567,49777700
2003-07-11,99.39,100.45,99.39,100.24,68.303062,39976300
2003-07-14,101.2,101.9,100.45,100.73,68.636955,42114900
2003-07-15,101.38,101.46,99.95,100.51,68.487038,42573600
2003-07-16,100.81,100.87,99.23,99.92,68.08506,39894200
2003-07-17,99.15,99.88,98.16,98.5,67.117432,52253500
2003-07-18,99.02,99.8,98.46,99.51,67.805672,35698100
2003-07-21,99.45,99.49,97.85,98.28,66.967506,34786000
2003-07-22,98.69,99.41,97.92,99.17,67.573982,49968300
2003-07-23,99.21,99.45,98.28,99.24,67.621681,37275400
2003-07-24,99.99,100.34,98.37,98.49,67.110641,40896200
2003-07-25,98.66,100.29,98.04,100.23,68.296257,43241100
2003-07-28,100.37,100.98,99.67,99.86,68.044128,34382800
2003-07-29,100.14,100.26,98.68,99.4,67.730713,53472100
2003-07-30,99.6,99.75,98.93,99.16,67.567169,28363300
2003-07-31,99.98,100.91,99.17,99.39,67.723877,54937200
2003-08-01,99.19,99.53,98.24,98.51,67.124268,49321000
2003-08-04,98.31,99,97,98.51,67.124268,55214100
2003-08-05,98.41,98.76,96.34,96.42,65.700127,61415600
2003-08-06,96.69,98.06,96.42,96.98,66.081726,50096900
2003-08-07,97.17,98.07,96.76,98,66.776772,43427400
2003-08-08,98.32,98.55,97.76,98.28,66.967506,27357300
2003-08-11,98.26,99.04,97.84,98.65,67.219666,34631400
2003-08-12,98.71,99.59,98.42,99.55,67.832893,43285600
2003-08-13,99.82,99.85,98.53,99.04,67.485397,36152000
2003-08-14,99.1,99.75,98.45,99.31,67.66938,35525100
2003-08-15,99.36,99.79,99.12,99.62,67.880577,12567000
2003-08-18,99.93,100.6,99.74,100.48,68.466652,22873800
2003-08-19,100.69,100.94,100,100.86,68.725517,37437700
2003-08-20,100.29,100.89,100.16,100.45,68.446144,21295300
2003-08-21,101.05,101.52,100.4,100.77,68.664215,46494200
2003-08-22,101.75,101.82,99.73,99.77,67.982819,52040300
2003-08-25,99.71,100.83,99.28,99.93,68.091835,23473000
2003-08-26,99.5,100.39,98.83,100.11,68.214493,45065800
2003-08-27,100.05,100.36,99.57,100.14,68.23494,18919500
2003-08-28,100.4,101,99.66,100.76,68.657394,27402400
2003-08-29,100.61,101.48,100.48,101.44,69.120773,28706600
2003-09-02,101.64,102.88,101.05,102.8,70.04747,49419100
2003-09-03,103.03,103.7,102.78,103.36,70.429016,44912400
2003-09-04,103.1,103.55,102.76,103.41,70.463089,28381000
2003-09-05,102.94,103.55,102.4,102.83,70.067871,31637300
2003-09-08,103.04,103.88,102.93,103.68,70.647041,32632800
2003-09-09,103.37,103.46,102.68,103,70.183731,35053200
2003-09-10,102.53,102.8,101.55,101.96,69.475067,45417600
2003-09-11,102.1,102.76,101.84,102.26,69.679504,38038300
2003-09-12,101.91,102.64,101.35,102.45,69.808952,41159600
2003-09-15,102.52,102.63,101.95,102.09,69.56366,20710600
2003-09-16,102.232,103.64,102.17,103.58,70.578926,37103300
2003-09-17,103.48,103.785,103.05,103.38,70.442665,31824300
2003-09-18,103.4,104.7,103.17,104.6,71.273987,29996600
2003-09-19,104.27,104.6,103.4,103.67,70.911423,34369000
2003-09-22,102.85,102.96,102.03,102.55,70.145332,36454300
2003-09-23,102.59,103.29,102.36,102.94,70.412094,32458700
2003-09-24,103.118,103.22,101.07,101.11,69.160355,41440100
2003-09-25,101.41,101.88,100.2,100.28,68.592644,51878800
2003-09-26,100.44,100.66,99.846,99.95,68.366913,42641300
2003-09-29,100.3,100.99,99.79,100.93,69.037209,36498400
2003-09-30,100.48,100.76,99.25,99.95,68.366913,69743200
2003-10-01,100.24,102.18,100.2,102.08,69.82386,65078900
2003-10-02,101.93,102.56,101.63,102.45,70.076935,44505400
2003-10-03,103.67,104.28,103.08,103.39,70.719872,48319400
2003-10-06,103.482,103.99,103.2,103.86,71.041389,20212600
2003-10-07,103.26,104.31,102.91,104.26,71.31501,42228400
2003-10-08,104.33,104.39,103.41,104,71.137138,30824800
2003-10-09,104.88,105.22,103.83,104.28,71.328682,38557600
2003-10-10,104.27,104.6,103.91,104.57,71.527039,22425800
2003-10-13,104.715,105.29,104.51,104.9,71.752769,23728700
2003-10-14,104.8,105.43,104.36,105.27,72.005867,38470800
2003-10-15,105.86,105.89,104.64,104.99,71.814301,39813900
2003-10-16,104.68,105.73,104.65,105.41,72.101624,32425400
2003-10-17,105.47,105.63,103.98,104.26,71.31501,32005400
2003-10-20,104.447,105.04,103.94,105.04,71.848526,27736700
2003-10-21,104.82,105.28,104.6,104.86,71.725388,26658900
2003-10-22,104.03,104.19,103.19,103.54,70.822517,33999000
2003-10-23,102.89,103.95,102.84,103.35,70.69252,44982000
2003-10-24,102.83,103.58,102.18,103.58,70.849869,50688100
2003-10-27,103.74,104.18,103.27,103.63,70.884079,32309400
2003-10-28,103.98,105.15,103.82,105.04,71.848526,34719700
2003-10-29,104.77,105.43,103.87,105.18,71.944275,29847900
2003-10-30,105.79,105.97,104.8,105.4,72.094765,38607000
2003-10-31,105.4,105.74,105.22,105.3,72.026344,25765000
2003-11-03,105.75,106.61,105.71,105.99,72.498344,36751697
2003-11-04,105.99,106.27,105.58,105.76,72.340965,31243465
2003-11-05,105.5,105.97,104.9,105.84,72.395721,33498500
2003-11-06,105.6,106.44,105.1,106.4,72.778755,28232300
2003-11-07,106.64,106.72,105.57,105.66,72.238434,31519400
2003-11-10,105.74,105.84,105.01,105.18,71.944275,25364400
2003-11-11,105.09,105.33,104.8,105.15,71.923759,26269400
2003-11-12,105.23,106.47,105.16,106.33,72.730904,27998100
2003-11-13,106.01,106.54,105.78,106.36,72.751404,29568100
2003-11-14,106.4,106.95,105.29,105.46,72.135803,48339400
2003-11-17,104.91,105.14,104.04,104.93,71.773262,44237400
2003-11-18,105.24,105.45,103.7,103.84,71.027718,40954700
2003-11-19,104.03,105.01,103.92,104.72,71.629639,29759900
2003-11-20,104.02,105.24,103.75,103.75,70.986671,53361300
2003-11-21,104.24,104.33,103.62,104.21,71.280792,29880100
2003-11-24,104.69,105.78,104.68,105.59,72.224716,28660000
